field_id,year,asof_tag,cropwise_asof_t_ha,cropwise_history_date
197,2014,08_01,2.4627,2014-07-26
197,2014,09_01,2.1878,2014-08-30
197,2015,07_01,2.7282,2015-06-27
197,2015,08_01,2.1153,2015-08-01
197,2015,09_01,1.8681,2015-08-29
197,2016,07_01,2.9806999999999997,2016-06-25
197,2016,08_01,3.313,2016-07-30
197,2016,09_01,2.3142,2016-08-27
197,2017,07_01,2.9996,2017-07-01
197,2017,08_01,2.5713,2017-07-29
197,2017,09_01,1.8154,2017-08-26
197,2018,07_01,2.1039000000000003,2018-06-30
197,2018,08_01,2.5421,2018-07-28
197,2018,09_01,3.1079,2018-09-01
197,2019,07_01,2.6761,2019-06-29
197,2019,08_01,3.3518,2019-07-13
197,2019,09_01,3.3518,2019-07-13
197,2020,07_01,1.7875,2020-06-27
197,2020,08_01,1.5651,2020-07-18
197,2020,09_01,1.5651,2020-07-18
197,2021,07_01,2.8515,2021-06-26
197,2021,08_01,3.4238999999999997,2021-07-31
197,2021,09_01,3.7068,2021-08-28
197,2022,07_01,2.4524999999999997,2022-06-25
197,2022,08_01,3.2342,2022-07-16
197,2022,09_01,3.2342,2022-07-16
197,2023,07_01,2.8075,2023-07-01
197,2023,08_01,2.1736999999999997,2023-07-15
197,2023,09_01,2.1736999999999997,2023-07-15
197,2024,07_01,2.4313,2024-06-29
197,2024,08_01,3.3829000000000002,2024-07-27
197,2024,09_01,3.2267,2024-08-31
197,2025,07_01,3.7805,2025-06-28
197,2025,08_01,3.4404000000000003,2025-07-26
197,2025,09_01,3.1238,2025-08-16
197,2026,07_01,2.3284,2026-06-07
197,2026,08_01,2.3284,2026-06-07
197,2026,09_01,2.3284,2026-06-07
207,2010,07_01,1.6804999999999999,2010-06-26
207,2010,08_01,2.2816,2010-07-31
207,2010,09_01,2.1894,2010-08-28
207,2011,07_01,2.5621,2011-06-25
207,2011,08_01,1.8143,2011-07-30
207,2011,09_01,1.6367999999999998,2011-08-27
207,2012,07_01,2.8788,2012-06-30
207,2012,08_01,3.1296,2012-07-28
207,2012,09_01,1.9425999999999999,2012-09-01
207,2013,07_01,2.2744,2013-06-29
207,2013,08_01,1.6384,2013-07-27
207,2013,09_01,2.0481000000000003,2013-08-31
207,2014,07_01,2.4439,2014-06-28
207,2014,08_01,1.8939,2014-07-26
207,2014,09_01,2.1967,2014-08-30
207,2015,07_01,2.4798999999999998,2015-06-27
207,2015,08_01,1.52,2015-08-01
207,2015,09_01,1.5734,2015-08-29
207,2016,07_01,2.4129,2016-06-25
207,2016,08_01,1.9376000000000002,2016-07-30
207,2016,09_01,1.8721,2016-08-27
207,2017,07_01,2.9613,2017-07-01
207,2017,08_01,1.8676,2017-07-29
207,2017,09_01,1.4974,2017-08-26
207,2018,07_01,1.7426,2018-06-30
207,2018,08_01,2.3009,2018-07-28
207,2018,09_01,2.2908,2018-09-01
207,2019,07_01,2.2341,2019-06-29
207,2019,08_01,2.7728,2019-07-13
207,2019,09_01,2.7728,2019-07-13
207,2020,07_01,1.3694000000000002,2020-06-27
207,2020,08_01,1.1949999999999998,2020-08-01
207,2020,09_01,1.0497,2020-08-29
207,2021,07_01,3.1924,2021-06-26
207,2021,08_01,4.1666,2021-07-31
207,2021,09_01,3.1641,2021-08-28
207,2022,07_01,2.8611999999999997,2022-06-25
207,2022,08_01,2.9544,2022-07-16
207,2022,09_01,2.9544,2022-07-16
207,2023,07_01,3.0064,2023-07-01
207,2023,08_01,2.1542000000000003,2023-07-15
207,2023,09_01,2.1542000000000003,2023-07-15
207,2024,07_01,2.3039,2024-06-29
207,2024,08_01,2.8787,2024-07-27
207,2024,09_01,2.8238,2024-08-31
207,2025,07_01,3.7405,2025-06-28
207,2025,08_01,3.4044,2025-07-19
207,2025,09_01,3.4044,2025-07-19
207,2026,07_01,2.3902,2026-06-07
207,2026,08_01,2.3902,2026-06-07
207,2026,09_01,2.3902,2026-06-07
208,2010,07_01,2.5624,2010-06-26
208,2010,08_01,2.6795999999999998,2010-07-31
208,2010,09_01,2.0484999999999998,2010-08-28
208,2011,07_01,3.1227,2011-06-25
208,2011,08_01,2.9919000000000002,2011-07-30
208,2011,09_01,2.1645,2011-08-27
208,2012,07_01,2.0651,2012-06-30
208,2012,08_01,2.1846,2012-07-28
208,2012,09_01,2.3047999999999997,2012-09-01
208,2013,07_01,2.4272,2013-06-29
208,2013,08_01,2.5533,2013-07-27
208,2013,09_01,2.8067,2013-08-31
208,2014,07_01,2.9009,2014-06-28
208,2014,08_01,2.7198,2014-07-26
208,2014,09_01,2.8088,2014-08-30
208,2015,07_01,2.1854,2015-06-27
208,2015,08_01,1.6018000000000001,2015-08-01
208,2015,09_01,1.3029,2015-08-29
208,2016,07_01,2.3843,2016-06-25
208,2016,08_01,2.9378,2016-07-30
208,2016,09_01,2.2904,2016-08-27
208,2017,07_01,1.8559,2017-07-01
208,2017,08_01,2.3973,2017-07-29
208,2017,09_01,2.4998,2017-08-26
208,2018,07_01,2.1259,2018-06-30
208,2018,08_01,1.693,2018-07-28
208,2018,09_01,1.7312,2018-09-01
208,2019,07_01,2.4488,2019-06-29
208,2019,08_01,2.165,2019-07-27
208,2019,09_01,2.5303999999999998,2019-08-31
208,2020,07_01,1.2673,2020-06-27
208,2020,08_01,1.3906,2020-07-18
208,2020,09_01,1.3906,2020-07-18
208,2021,07_01,2.7356000000000003,2021-06-26
208,2021,08_01,2.502,2021-07-31
208,2021,09_01,2.5939,2021-08-28
208,2022,07_01,1.8747,2022-06-25
208,2022,08_01,2.5443000000000002,2022-07-30
208,2022,09_01,3.6424999999999996,2022-08-27
208,2023,07_01,2.0981,2023-07-01
208,2023,08_01,1.6263999999999998,2023-07-29
208,2023,09_01,1.4264,2023-08-26
208,2024,07_01,2.3794,2024-06-29
208,2024,08_01,2.2707,2024-07-27
208,2024,09_01,2.4902,2024-08-31
208,2025,07_01,2.6100000000000003,2025-06-28
208,2025,08_01,3.0721,2025-07-26
208,2025,09_01,3.0721,2025-07-26
208,2026,07_01,2.311,2026-06-07
208,2026,08_01,2.311,2026-06-07
208,2026,09_01,2.311,2026-06-07
209,2010,07_01,1.9285,2010-06-26
209,2010,08_01,2.1111,2010-07-31
209,2010,09_01,1.8981999999999999,2010-08-28
209,2011,07_01,3.3905000000000003,2011-06-25
209,2011,08_01,2.7255,2011-07-30
209,2011,09_01,2.1266,2011-08-27
209,2012,07_01,2.8738,2012-06-30
209,2012,08_01,2.6936,2012-07-28
209,2012,09_01,1.9834,2012-09-01
209,2013,07_01,1.7623000000000002,2013-06-29
209,2013,08_01,2.3106999999999998,2013-07-27
209,2013,09_01,1.559,2013-08-31
209,2014,07_01,2.5416,2014-06-28
209,2014,08_01,2.9414000000000002,2014-07-26
209,2014,09_01,2.4148,2014-08-30
209,2015,07_01,2.2237,2015-06-27
209,2015,08_01,2.8126,2015-08-01
209,2015,09_01,1.9904,2015-08-29
209,2016,07_01,2.6995999999999998,2016-06-25
209,2016,08_01,2.5446999999999997,2016-07-30
209,2016,09_01,2.5771,2016-08-27
209,2017,07_01,4.048,2017-07-01
209,2017,08_01,3.1563,2017-07-15
209,2017,09_01,3.1563,2017-07-15
209,2018,07_01,2.1047000000000002,2018-06-30
209,2018,08_01,2.4931,2018-07-28
209,2018,09_01,2.0557,2018-09-01
209,2019,07_01,1.7696999999999998,2019-06-29
209,2019,08_01,1.4083,2019-07-13
209,2019,09_01,1.4083,2019-07-13
209,2020,07_01,4.3353,2020-06-27
209,2020,08_01,2.6306000000000003,2020-08-01
209,2020,09_01,2.8203,2020-08-29
209,2021,07_01,2.1295,2021-06-26
209,2021,08_01,2.5276,2021-07-31
209,2021,09_01,2.3401,2021-08-28
209,2022,07_01,3.1563,2022-06-25
209,2022,08_01,3.0277000000000003,2022-07-30
209,2022,09_01,3.5056,2022-08-27
209,2023,07_01,3.1699,2023-07-01
209,2023,08_01,3.0968,2023-07-15
209,2023,09_01,3.0968,2023-07-15
209,2024,07_01,5.0459000000000005,2024-06-29
209,2024,08_01,5.6417,2024-07-20
209,2024,09_01,5.6417,2024-07-20
209,2025,07_01,2.6901,2025-06-28
209,2025,08_01,3.5131,2025-07-26
209,2025,09_01,3.0953,2025-08-30
209,2026,07_01,3.2582,2026-06-07
209,2026,08_01,3.2582,2026-06-07
209,2026,09_01,3.2582,2026-06-07
210,2010,07_01,2.1991,2010-06-26
210,2010,08_01,2.4423,2010-07-31
210,2010,09_01,2.2615,2010-08-28
210,2011,07_01,3.3777999999999997,2011-06-25
210,2011,08_01,3.3952,2011-07-30
210,2011,09_01,2.3870999999999998,2011-08-27
210,2012,07_01,1.7574,2012-06-30
210,2012,08_01,2.393,2012-07-28
210,2012,09_01,1.7593,2012-09-01
210,2013,07_01,1.7885000000000002,2013-06-29
210,2013,08_01,2.4386,2013-07-27
210,2013,09_01,2.2047999999999996,2013-08-31
210,2014,07_01,2.852,2014-06-28
210,2014,08_01,2.8678,2014-07-26
210,2014,09_01,2.7142,2014-08-30
210,2015,07_01,2.2813,2015-06-27
210,2015,08_01,2.4514,2015-08-01
210,2015,09_01,1.9744,2015-08-29
210,2016,07_01,2.1116,2016-06-25
210,2016,08_01,1.582,2016-07-30
210,2016,09_01,2.0128,2016-08-27
210,2017,07_01,2.5725000000000002,2017-07-01
210,2017,08_01,2.4049,2017-07-15
210,2017,09_01,2.4049,2017-07-15
210,2018,07_01,1.5386,2018-06-30
210,2018,08_01,1.7359000000000002,2018-07-14
210,2018,09_01,1.7359000000000002,2018-07-14
210,2019,07_01,2.1532,2019-06-29
210,2019,08_01,2.4427,2019-07-27
210,2019,09_01,2.5763000000000003,2019-08-31
210,2020,07_01,2.1024000000000003,2020-06-27
210,2020,08_01,2.1218,2020-07-18
210,2020,09_01,2.1218,2020-07-18
210,2021,07_01,2.2004,2021-06-26
210,2021,08_01,2.5705,2021-07-31
210,2021,09_01,2.8418,2021-08-28
210,2022,07_01,3.8598999999999997,2022-06-25
210,2022,08_01,3.1882,2022-07-30
210,2022,09_01,3.1305,2022-08-27
210,2023,07_01,1.8719999999999999,2023-07-01
210,2023,08_01,1.9667000000000001,2023-07-29
210,2023,09_01,1.6518000000000002,2023-08-05
210,2024,07_01,5.6729,2024-06-29
210,2024,08_01,5.754099999999999,2024-07-20
210,2024,09_01,5.754099999999999,2024-07-20
210,2025,07_01,2.52,2025-06-28
210,2025,08_01,2.3675,2025-07-26
210,2025,09_01,2.6427,2025-08-30
210,2026,07_01,2.5742000000000003,2026-06-07
210,2026,08_01,2.5742000000000003,2026-06-07
210,2026,09_01,2.5742000000000003,2026-06-07
211,2017,07_01,2.1353,2017-07-01
211,2017,08_01,1.8834,2017-07-15
211,2017,09_01,1.8834,2017-07-15
211,2019,07_01,1.8706,2019-06-29
211,2019,08_01,2.7584,2019-07-27
211,2019,09_01,2.5446999999999997,2019-08-31
211,2020,07_01,2.3897,2020-06-27
211,2020,08_01,2.4044,2020-07-18
211,2020,09_01,2.4044,2020-07-18
211,2021,07_01,2.3226,2021-06-26
211,2021,08_01,3.1853000000000002,2021-07-31
211,2021,09_01,2.9005,2021-08-28
211,2022,07_01,3.7712000000000003,2022-06-25
211,2022,08_01,3.4704,2022-07-16
211,2022,09_01,3.4704,2022-07-16
212,2010,07_01,1.8053000000000001,2010-06-26
212,2010,08_01,2.2592,2010-07-31
212,2010,09_01,2.3442,2010-08-28
212,2011,07_01,2.1433,2011-06-25
212,2011,08_01,2.382,2011-07-30
212,2011,09_01,2.3102,2011-08-27
212,2012,07_01,1.8600999999999999,2012-06-30
212,2012,08_01,3.1334,2012-07-28
212,2012,09_01,2.7264,2012-09-01
212,2013,07_01,2.7774,2013-06-29
212,2013,08_01,2.6847000000000003,2013-07-27
212,2013,09_01,2.5545999999999998,2013-08-31
212,2014,07_01,2.6302,2014-06-28
212,2014,08_01,2.2225,2014-07-26
212,2014,09_01,2.6265,2014-08-30
212,2015,07_01,1.8016999999999999,2015-06-27
212,2015,08_01,1.8347000000000002,2015-08-01
212,2015,09_01,1.809,2015-08-29
212,2016,07_01,2.5126999999999997,2016-06-25
212,2016,08_01,2.2128,2016-07-30
212,2016,09_01,2.1242,2016-08-27
212,2017,07_01,2.0044,2017-07-01
212,2017,08_01,2.57,2017-07-29
212,2017,09_01,2.3022,2017-08-26
212,2018,07_01,1.7785,2018-06-30
212,2018,08_01,1.1896,2018-07-28
212,2018,09_01,1.2344,2018-09-01
212,2019,07_01,2.4861999999999997,2019-06-29
212,2019,08_01,2.1024000000000003,2019-07-27
212,2019,09_01,2.1277,2019-08-31
212,2020,07_01,1.9136,2020-06-27
212,2020,08_01,1.3132,2020-07-18
212,2020,09_01,1.3132,2020-07-18
212,2021,07_01,2.1821,2021-06-26
212,2021,08_01,2.7846,2021-07-31
212,2021,09_01,2.9642,2021-08-28
212,2022,07_01,3.0978000000000003,2022-06-25
212,2022,08_01,3.457,2022-07-30
212,2022,09_01,3.4025,2022-08-27
212,2023,07_01,1.7012,2023-07-01
212,2023,08_01,2.6809000000000003,2023-07-29
212,2023,09_01,2.073,2023-08-26
212,2024,07_01,2.5942,2024-06-29
212,2024,08_01,2.9494,2024-07-27
212,2024,09_01,2.5872,2024-08-31
212,2025,07_01,2.3390999999999997,2025-06-28
212,2025,08_01,2.8967,2025-07-26
212,2025,09_01,2.8967,2025-07-26
212,2026,07_01,2.1566,2026-06-07
212,2026,08_01,2.1566,2026-06-07
212,2026,09_01,2.1566,2026-06-07
213,2010,07_01,2.5839,2010-06-26
213,2010,08_01,1.9876,2010-07-31
213,2010,09_01,1.7355,2010-08-28
213,2011,07_01,2.9207,2011-06-25
213,2011,08_01,2.4335,2011-07-30
213,2011,09_01,2.0503,2011-08-27
213,2012,07_01,2.4236,2012-06-30
213,2012,08_01,2.4467,2012-07-28
213,2012,09_01,1.7174,2012-09-01
213,2013,07_01,1.8847,2013-06-29
213,2013,08_01,2.2335000000000003,2013-07-27
213,2013,09_01,2.0963000000000003,2013-08-31
213,2014,07_01,3.1481000000000003,2014-06-28
213,2014,08_01,2.7354,2014-07-26
213,2014,09_01,2.5468,2014-08-30
213,2015,07_01,2.3436,2015-06-27
213,2015,08_01,2.4709,2015-08-01
213,2015,09_01,1.8489,2015-08-29
213,2016,07_01,2.4988,2016-06-25
213,2016,08_01,2.1536,2016-07-30
213,2016,09_01,2.1834,2016-08-27
213,2017,07_01,2.3379000000000003,2017-07-01
213,2017,08_01,2.4356,2017-07-29
213,2017,09_01,2.5056000000000003,2017-08-26
213,2018,07_01,1.818,2018-06-30
213,2018,08_01,2.5289,2018-07-28
213,2018,09_01,2.3726,2018-09-01
213,2019,07_01,1.7960999999999998,2019-06-29
213,2019,08_01,1.9759,2019-07-13
213,2019,09_01,1.9759,2019-07-13
213,2020,07_01,2.2992,2020-06-27
213,2020,08_01,1.7556,2020-08-01
213,2020,09_01,1.5272000000000001,2020-08-29
213,2021,07_01,1.8895,2021-06-26
213,2021,08_01,3.2506,2021-07-31
213,2021,09_01,3.1079999999999997,2021-08-28
213,2022,07_01,2.8958,2022-06-25
213,2022,08_01,2.5688,2022-07-30
213,2022,09_01,2.1202,2022-08-27
213,2023,07_01,1.9405000000000001,2023-07-01
213,2023,08_01,1.6768999999999998,2023-07-29
213,2023,09_01,1.6768999999999998,2023-07-29
213,2025,07_01,2.826,2025-06-28
213,2025,08_01,3.665,2025-07-26
213,2025,09_01,3.0796,2025-08-23
214,2010,07_01,2.089,2010-06-26
214,2010,08_01,2.1026,2010-07-31
214,2010,09_01,1.9640999999999997,2010-08-28
214,2011,07_01,2.8627,2011-06-25
214,2011,08_01,2.6215,2011-07-30
214,2011,09_01,2.039,2011-08-27
214,2012,07_01,2.4436,2012-06-30
214,2012,08_01,2.4437,2012-07-28
214,2012,09_01,1.6885000000000001,2012-09-01
214,2013,07_01,1.7893000000000001,2013-06-29
214,2013,08_01,2.1227,2013-07-27
214,2013,09_01,2.2219,2013-08-31
214,2014,07_01,2.9068,2014-06-28
214,2014,08_01,2.5549,2014-07-26
214,2014,09_01,2.5914,2014-08-30
214,2015,07_01,2.9969,2015-06-27
214,2015,08_01,2.6727,2015-08-01
214,2015,09_01,2.0187999999999997,2015-08-29
214,2016,07_01,2.0332,2016-06-25
214,2016,08_01,1.8359,2016-07-30
214,2016,09_01,2.1849,2016-08-27
214,2017,07_01,2.6603000000000003,2017-07-01
214,2017,08_01,2.4169,2017-07-29
214,2017,09_01,2.3041,2017-08-26
214,2018,07_01,1.9807,2018-06-30
214,2018,08_01,2.6526,2018-07-28
214,2018,09_01,2.5342,2018-09-01
214,2019,07_01,2.2744,2019-06-29
214,2019,08_01,2.0909,2019-07-27
214,2019,09_01,2.4151,2019-08-31
214,2020,07_01,2.1065,2020-06-27
214,2020,08_01,1.5097,2020-07-18
214,2020,09_01,1.5097,2020-07-18
214,2021,07_01,2.0593,2021-06-26
214,2021,08_01,3.5127,2021-07-31
214,2021,09_01,3.1157,2021-08-28
214,2022,07_01,3.2154000000000003,2022-06-25
214,2022,08_01,2.6556,2022-07-30
214,2022,09_01,2.1227,2022-08-27
214,2023,07_01,1.7420000000000002,2023-07-01
214,2023,08_01,1.6103999999999998,2023-07-29
214,2023,09_01,1.6103999999999998,2023-07-29
214,2025,07_01,2.9945,2025-06-28
214,2025,08_01,3.0967,2025-07-26
214,2025,09_01,3.0119,2025-08-16
215,2010,07_01,2.3392,2010-06-26
215,2010,08_01,2.2298,2010-07-31
215,2010,09_01,2.3498,2010-08-28
215,2011,07_01,2.9251,2011-06-25
215,2011,08_01,2.9675000000000002,2011-07-30
215,2011,09_01,2.1831,2011-08-27
215,2012,07_01,1.866,2012-06-30
215,2012,08_01,2.131,2012-07-28
215,2012,09_01,1.7376,2012-09-01
215,2013,07_01,1.4363,2013-06-29
215,2013,08_01,1.6896,2013-07-27
215,2013,09_01,1.2308,2013-08-31
215,2014,07_01,2.7157,2014-06-28
215,2014,08_01,2.6323,2014-07-26
215,2014,09_01,2.9935,2014-08-30
215,2015,07_01,1.5446,2015-06-27
215,2015,08_01,1.512,2015-08-01
215,2015,09_01,1.5538,2015-08-29
215,2016,07_01,2.9926,2016-06-25
215,2016,08_01,3.1753,2016-07-30
215,2016,09_01,3.0113,2016-08-27
215,2017,07_01,1.5872,2017-07-01
215,2017,08_01,1.5817999999999999,2017-07-15
215,2017,09_01,1.5817999999999999,2017-07-15
215,2018,07_01,2.1935,2018-06-30
215,2018,08_01,2.0431999999999997,2018-07-28
215,2018,09_01,2.1809000000000003,2018-09-01
215,2019,07_01,1.6133,2019-06-29
215,2019,08_01,1.8390999999999997,2019-07-27
215,2019,09_01,2.476,2019-08-31
215,2020,07_01,1.4959,2020-06-27
215,2020,08_01,1.5953,2020-07-18
215,2020,09_01,1.5953,2020-07-18
215,2021,07_01,2.2252,2021-06-26
215,2021,08_01,2.614,2021-07-31
215,2021,09_01,2.6519,2021-08-28
215,2022,07_01,2.9058,2022-06-25
215,2022,08_01,2.6435,2022-07-30
215,2022,09_01,2.7344999999999997,2022-08-27
215,2023,07_01,2.1417,2023-07-01
215,2023,08_01,2.0213,2023-07-29
215,2023,09_01,2.4396,2023-08-26
215,2024,07_01,4.1198999999999995,2024-06-29
215,2024,08_01,4.2056,2024-07-20
215,2024,09_01,4.2056,2024-07-20
215,2025,07_01,2.6576,2025-06-28
215,2025,08_01,2.7828,2025-07-26
215,2025,09_01,2.6681,2025-08-30
215,2026,07_01,2.4417999999999997,2026-06-07
215,2026,08_01,2.4417999999999997,2026-06-07
215,2026,09_01,2.4417999999999997,2026-06-07
216,2010,07_01,1.9693999999999998,2010-06-26
216,2010,08_01,2.1123000000000003,2010-07-31
216,2010,09_01,2.4226,2010-08-28
216,2011,07_01,3.2939999999999996,2011-06-25
216,2011,08_01,2.7671,2011-07-30
216,2011,09_01,2.6862,2011-08-27
216,2012,07_01,2.3882000000000003,2012-06-30
216,2012,08_01,2.4696000000000002,2012-07-28
216,2012,09_01,2.466,2012-09-01
216,2013,07_01,2.4863,2013-06-29
216,2013,08_01,2.7868,2013-07-27
216,2013,09_01,2.6361,2013-08-31
216,2014,07_01,3.1315999999999997,2014-06-28
216,2014,08_01,3.1452,2014-07-26
216,2014,09_01,2.8576,2014-08-30
216,2015,07_01,2.4832,2015-06-27
216,2015,08_01,3.2384999999999997,2015-08-01
216,2015,09_01,2.9849,2015-08-29
216,2016,07_01,2.9184,2016-06-25
216,2016,08_01,3.246,2016-07-30
216,2016,09_01,3.2420999999999998,2016-08-27
216,2017,07_01,1.7739999999999998,2017-07-01
216,2017,08_01,1.6878,2017-07-15
216,2017,09_01,1.6878,2017-07-15
216,2018,07_01,2.3148,2018-06-30
216,2018,08_01,2.4412,2018-07-28
216,2018,09_01,1.7873,2018-09-01
216,2019,07_01,2.4646999999999997,2019-06-29
216,2019,08_01,2.5018000000000002,2019-07-27
216,2019,09_01,2.4692,2019-08-31
216,2020,07_01,1.9065999999999999,2020-06-27
216,2020,08_01,2.1373,2020-07-18
216,2020,09_01,2.1373,2020-07-18
216,2021,07_01,2.3702,2021-06-26
216,2021,08_01,2.6715,2021-07-31
216,2021,09_01,2.7872,2021-08-28
216,2022,07_01,3.7896,2022-06-25
216,2022,08_01,3.9165,2022-07-30
216,2022,09_01,3.9808999999999997,2022-08-27
216,2023,07_01,2.316,2023-07-01
216,2023,08_01,2.809,2023-07-29
216,2023,09_01,2.5551,2023-08-26
216,2024,07_01,4.7169,2024-06-29
216,2024,08_01,5.3586,2024-07-20
216,2024,09_01,5.3586,2024-07-20
216,2025,07_01,2.8066,2025-06-28
216,2025,08_01,3.2991,2025-07-26
216,2025,09_01,2.9402,2025-08-30
216,2026,07_01,3.5557000000000003,2026-06-07
216,2026,08_01,3.5557000000000003,2026-06-07
216,2026,09_01,3.5557000000000003,2026-06-07
217,2010,07_01,2.3553,2010-06-26
217,2010,08_01,1.6109000000000002,2010-07-31
217,2010,09_01,1.5508,2010-08-28
217,2011,07_01,2.5013,2011-06-25
217,2011,08_01,2.7799,2011-07-30
217,2011,09_01,2.0961,2011-08-27
217,2012,07_01,2.4339,2012-06-30
217,2012,08_01,2.0207,2012-07-28
217,2012,09_01,1.5782,2012-09-01
217,2013,07_01,1.9207,2013-06-29
217,2013,08_01,2.1010999999999997,2013-07-27
217,2013,09_01,2.6986,2013-08-31
217,2014,07_01,2.1531,2014-06-28
217,2014,08_01,2.8514,2014-07-26
217,2014,09_01,3.2064999999999997,2014-08-30
217,2015,07_01,1.5958,2015-06-27
217,2015,08_01,0.9949999999999999,2015-08-01
217,2015,09_01,1.233,2015-08-29
217,2016,07_01,2.3868,2016-06-25
217,2016,08_01,2.2474,2016-07-30
217,2016,09_01,1.9899,2016-08-27
217,2017,07_01,1.0224,2017-07-01
217,2017,08_01,0.9526,2017-07-15
217,2017,09_01,0.9526,2017-07-15
217,2018,07_01,2.4638999999999998,2018-06-30
217,2018,08_01,1.4773999999999998,2018-07-28
217,2018,09_01,1.5797,2018-09-01
217,2019,07_01,2.1968,2019-06-29
217,2019,08_01,2.0462,2019-07-27
217,2019,09_01,2.4656,2019-08-31
217,2020,07_01,1.7108,2020-06-27
217,2020,08_01,1.9609999999999999,2020-07-18
217,2020,09_01,1.9609999999999999,2020-07-18
217,2021,07_01,2.068,2021-06-26
217,2021,08_01,2.475,2021-07-31
217,2021,09_01,2.6262,2021-08-28
217,2022,07_01,3.4240000000000004,2022-06-25
217,2022,08_01,3.319,2022-07-30
217,2022,09_01,3.6563000000000003,2022-08-27
217,2023,07_01,1.921,2023-07-01
217,2023,08_01,1.9228999999999998,2023-07-29
217,2023,09_01,1.8331,2023-08-26
217,2024,07_01,2.9491,2024-06-29
217,2024,08_01,3.1949,2024-07-27
217,2024,09_01,3.2312,2024-08-31
217,2025,07_01,2.7976,2025-06-28
217,2025,08_01,2.7186,2025-07-26
217,2025,09_01,2.7186,2025-07-26
217,2026,07_01,1.7446000000000002,2026-06-07
217,2026,08_01,1.7446000000000002,2026-06-07
217,2026,09_01,1.7446000000000002,2026-06-07
218,2010,07_01,2.1879999999999997,2010-06-26
218,2010,08_01,2.9475000000000002,2010-07-31
218,2010,09_01,2.408,2010-08-28
218,2011,07_01,2.1901,2011-06-25
218,2011,08_01,2.3306,2011-07-30
218,2011,09_01,2.067,2011-08-27
218,2012,07_01,2.4981,2012-06-30
218,2012,08_01,2.1944,2012-07-28
218,2012,09_01,1.7683,2012-09-01
218,2013,07_01,1.7041,2013-06-29
218,2013,08_01,1.163,2013-07-27
218,2013,09_01,1.6618,2013-08-31
218,2014,07_01,2.1634,2014-06-28
218,2014,08_01,2.4846,2014-07-26
218,2014,09_01,1.8579999999999999,2014-08-30
218,2015,07_01,2.621,2015-06-27
218,2015,08_01,2.1262,2015-08-01
218,2015,09_01,1.9280000000000002,2015-08-29
218,2016,07_01,2.532,2016-06-25
218,2016,08_01,1.8545000000000003,2016-07-30
218,2016,09_01,1.8155999999999999,2016-08-27
